molecule_chembl_id,canonical_smiles,standard_value,bioactivity
CHEMBL4071080,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)ccn2)COc2ccccc21,2.0,active
CHEMBL4071864,CN1C(=O)[C@@H](NC(=O)c2n[nH]c(Cc3ccccc3)n2)COc2ccccc21,6.3,active
CHEMBL3786293,O=C(N[C@H]1COc2ccccc2NC1=O)c1cc(Cc2ccccc2)on1,200.0,active
CHEMBL4063232,CCN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)COc2ccccc21,7943.0,intermediate
CHEMBL4084884,O=C(N[C@H]1COc2ccccc2N(C2CC2)C1=O)c1cc(Cc2ccccc2)on1,10000.0,inactive
CHEMBL3787216,O=C(N[C@@H]1COc2ccccc2NC1=O)c1cc(Cc2ccccc2)on1,10000.0,inactive
CHEMBL4074616,C[C@]1(NC(=O)c2cc(Cc3ccccc3)on2)COc2ccccc2NC1=O,10000.0,inactive
CHEMBL4093587,CN(C(=O)c1cc(Cc2ccccc2)on1)[C@H]1COc2ccccc2NC1=O,10000.0,inactive
CHEMBL4065985,O=C(N[C@@H]1CNc2ccccc2OC1)c1cc(Cc2ccccc2)on1,10000.0,inactive
CHEMBL3785745,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)CSc2ccccc21,2.0,active
CHEMBL3786997,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)CCc2ccccc21,6.3,active
CHEMBL3786078,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)CNc2ccccc21,40.0,active
CHEMBL4069959,CN1C[C@H](NC(=O)c2cc(Cc3ccccc3)on2)C(=O)N(C)c2ccccc21,20.0,active
CHEMBL4098676,O=C(N[C@H]1CCOc2ccccc2NC1=O)c1cc(Cc2ccccc2)on1,631.0,active
CHEMBL4080634,O=C(NC1Cc2ccccc2NC1=O)c1cc(Cc2ccccc2)on1,10000.0,inactive
CHEMBL4060280,O=C(N[C@H]1COCCNC1=O)c1cc(Cc2ccccc2)on1,10000.0,inactive
CHEMBL4068954,CC(=O)Nc1ccc2c(c1)N(C)C(=O)[C@@H](NC(=O)c1cc(Cc3ccccc3)on1)CO2,7.9,active
CHEMBL4096224,COC(=O)Nc1ccc2c(c1)N(C)C(=O)[C@@H](NC(=O)c1cc(Cc3ccccc3)on1)CO2,10.0,active
CHEMBL4081685,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)COc2ccc(NS(C)(=O)=O)cc21,13.0,active
